,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,CFID,CFPARAMS
18,1610612740,New Orleans Pelicans,5,1,4,0.2,240.0,104.7,108.1,110.7,114.7,-6.0,-6.6,0.58,1.69,17.0,0.29,0.724,0.503,0.14,0.507,0.534,105.3,101.8,84.83,508,0.46,1,21,21,21,5,23,19,23,21,25,24,8,21,14,25,25,25,6,22,10,New Orleans Pelicans
19,1610612752,New York Knicks,5,4,1,0.8,250.0,107.7,107.4,99.0,103.1,8.6,4.3,0.589,2.2,17.5,0.181,0.716,0.469,0.105,0.519,0.558,94.9,93.12,77.6,485,0.53,1,4,4,4,1,24,1,12,18,8,21,30,24,29,3,22,23,30,10,10,New York Knicks
20,1610612760,Oklahoma City Thunder,5,1,4,0.2,240.0,99.4,100.8,119.2,118.9,-19.7,-18.1,0.503,1.29,14.7,0.261,0.738,0.488,0.152,0.493,0.52,102.2,101.6,84.67,507,0.408,1,21,21,21,5,29,27,29,30,30,30,16,17,21,28,26,28,8,29,10,Oklahoma City Thunder
21,1610612753,Orlando Magic,5,0,5,0.0,240.0,99.5,100.4,117.5,120.6,-18.0,-20.2,0.589,1.54,15.6,0.258,0.728,0.492,0.137,0.468,0.512,102.5,100.7,83.92,503,0.404,1,27,27,27,5,30,28,30,19,26,27,18,19,19,22,30,30,11,30,10,Orlando Magic
22,1610612755,Philadelphia 76ers,5,3,2,0.6,240.0,111.6,115.1,108.2,109.3,3.5,5.8,0.659,2.41,20.0,0.243,0.717,0.474,0.116,0.538,0.575,98.5,96.5,80.42,483,0.52,1,9,9,9,5,14,10,8,6,4,8,23,23,27,8,20,16,29,14,10,Philadelphia 76ers
23,1610612756,Phoenix Suns,5,3,2,0.6,240.0,121.5,121.4,114.1,117.7,7.4,3.7,0.615,2.53,20.3,0.219,0.73,0.487,0.11,0.594,0.631,101.3,99.8,83.17,500,0.526,1,9,9,9,5,4,25,14,13,3,5,27,18,23,5,4,4,13,12,10,Phoenix Suns
24,1610612757,Portland Trail Blazers,5,4,1,0.8,240.0,123.2,125.4,112.9,114.4,10.4,10.9,0.532,2.41,17.4,0.28,0.745,0.518,0.099,0.58,0.614,100.0,98.5,82.08,493,0.558,1,4,4,4,5,1,16,3,28,5,22,11,15,8,2,5,5,20,3,10,Portland Trail Blazers
25,1610612758,Sacramento Kings,5,2,3,0.4,240.0,109.9,111.0,105.3,108.3,4.6,2.7,0.648,2.09,19.3,0.253,0.715,0.485,0.128,0.542,0.569,103.3,101.3,84.42,507,0.519,1,19,19,19,5,21,3,15,8,14,11,19,25,24,17,14,18,9,16,10,Sacramento Kings
26,1610612759,San Antonio Spurs,5,1,4,0.2,240.0,110.9,115.0,121.8,121.4,-10.9,-6.5,0.544,2.12,17.5,0.283,0.795,0.524,0.114,0.523,0.561,103.4,101.7,84.75,508,0.454,1,21,21,21,5,15,29,22,24,12,18,10,2,5,7,21,20,7,23,10,San Antonio Spurs
27,1610612761,Toronto Raptors,5,0,5,0.0,240.0,101.9,104.4,115.3,115.6,-13.4,-11.2,0.536,1.72,15.5,0.241,0.719,0.458,0.12,0.488,0.521,101.1,99.7,83.08,498,0.427,1,27,27,27,5,26,22,26,26,24,29,24,22,30,13,27,27,14,27,10,Toronto Raptors
28,1610612762,Utah Jazz,5,3,2,0.6,240.0,113.5,114.5,106.3,107.3,7.2,7.3,0.535,1.5,16.0,0.294,0.793,0.549,0.145,0.54,0.58,100.1,99.2,82.67,496,0.536,1,9,9,9,5,16,2,6,27,27,26,6,3,1,27,17,12,16,7,10,Utah Jazz
29,1610612764,Washington Wizards,5,3,2,0.6,245.0,111.0,113.2,108.7,109.2,2.3,4.0,0.557,2.17,17.5,0.246,0.769,0.502,0.11,0.518,0.56,107.0,105.7,88.08,537,0.507,1,9,9,9,2,19,9,13,23,10,20,22,7,15,4,23,21,1,18,10,Washington Wizards
